"","TYPEOFTREE","SPECIESTYPE","SPECIES","AGE","DESCRIPTION","TREESURROUND","VIGOUR","CONDITION","DIAMETERinCENTIMETRES","SPREADRADIUSinMETRES","TREELOCATIONX","TREELOCATIONY","LONGITUDE","LATITUDE","TREETAG","TREEHEIGHTinMETRES"
"31368","StreetTree","Hawthorn","Crataegus monogyna 'Stricta'","Juvenile","Select Standard","Tarmac","Low","Poor",10,1,334348.32,372283.35,-5.922934,54.580955,"",5
"31370","StreetTree","Hawthorn","Crataegus monogyna 'Stricta'","Semi-Mature","Semi Mature","Tarmac","Low","Poor",12,1,334386.12,372309.99,-5.922337,54.581185,"",8
"31371","StreetTree","Hawthorn","Crataegus monogyna 'Stricta'","Juvenile","Extra Heavy Standard","Tarmac","Low","Poor",9,1,334370.5,372301.42,-5.922583,54.581112,"",6
"31383","StreetTree","Maple","Acer campestre","Semi-Mature","Semi Mature","Tarmac","Low","Poor",15,2,334430.46,373068.4,-5.921305,54.587981,"",5
"31407","StreetTree","Elm","Ulmus 'New Horizon'","Juvenile","Select Standard","Tarmac","Low","Poor",6,1,335328.67,373758.16,-5.907104,54.593934,"",5
"31410","StreetTree","Elm","Ulmus 'New Horizon'","Juvenile","Select Standard","Tarmac","Low","Poor",7,1,335328.48,373854.11,-5.907063,54.594795,"",5
"31434","StreetTree","Rowan","Sorbus 'Joseph Rock'","Juvenile","Select Standard","Paved Brick Paviour","Low","Poor",9,2,335398.84,373917.71,-5.905946,54.595347,"",9
"31448","StreetTree","Cherry","Prunus x schmittii","Semi-Mature","Semi Mature","Tarmac","Normal","Poor",12,1,331952.86,370606.73,-5.960708,54.566534,"",6
"31450","StreetTree","Cherry","Prunus x hillieri 'Spire'","Juvenile","Extra Heavy Standard","Tarmac","Normal","Poor",8,1,332046.88,370548.82,-5.959281,54.565989,"",5
"31458","StreetTree","Cherry","Prunus x hillieri 'Spire'","Juvenile","Extra Heavy Standard","Tarmac","Normal","Poor",8,1,332015.47,370552.88,-5.959765,54.566034,"",5
"31473","StreetTree","Rowan","Sorbus aucuparia (type)","Juvenile","Heavy Standard","Tarmac","Low","Poor",7,1,336015.01,373513.96,-5.896606,54.591558,"",4
"31474","StreetTree","Rowan","Sorbus aucuparia (type)","Juvenile","Extra Heavy Standard","Tarmac","Low","Poor",8,1,336007.96,373516.52,-5.896714,54.591583,"",5
"31475","StreetTree","Rowan","Sorbus aucuparia (type)","Juvenile","Select Standard","Tarmac","Normal","Poor",9,1,338450.26,374484.36,-5.858504,54.599608,"",7
"31477","StreetTree","Rowan","Sorbus aucuparia","Juvenile","Extra Heavy Standard","Tarmac","Normal","Poor",10,2,331874.87,370006.5,-5.962182,54.561166,"",6
"31494","StreetTree","Maple","Acer platanoides 'Columnare'","Semi-Mature","Semi Mature","Tarmac","Low","Poor",12,2,334027.54,372764.65,-5.927672,54.585361,"",8
"31496","StreetTree","Rowan","Sorbus aucuparia","Semi-Mature","Semi Mature","Tarmac","Low","Poor",14,2,334426.12,373084.62,-5.921365,54.588128,"",4
"31521","StreetTree","Cherry","Prunus x schmittii","Juvenile","Heavy Standard","Tarmac","Low","Poor",5,1,334927.81,372082.94,-5.91407,54.579002,"",3
"31549","StreetTree","Lime","Tilla cordata 'Green Spire'","Semi-Mature","Semi Mature","Tarmac","Normal","Poor",15,2,333872.76,373277.05,-5.929831,54.590002,"",9
"31550","StreetTree","Lime","Tilla cordata 'Green Spire'","Semi-Mature","Semi Mature","Tarmac","Low","Poor",14,2,333859.72,373261.88,-5.93004,54.589869,"",9
"31554","StreetTree","Pear","Pyrus (type)","Juvenile","Select Standard","Tarmac","Normal","Poor",10,2,335120.9,372485.93,-5.910901,54.582568,"",5
"31561","StreetTree","Lime","Tilla x europaea","Juvenile","Heavy Standard","Tarmac","Low","Poor",5,4,334641.54,372018.36,-5.918523,54.578499,"",6
